batch:10  lambda:100.0
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
189,1.1293,5.19679,6.04755,12.3682,11.8619
190,0.993774,6.15396,6.45289,11.5986,12.4203
191,1.28237,6.11516,6.03108,11.6846,12.2108
192,1.32477,5.33232,5.08315,11.328,11.5362
193,1.05579,5.15305,5.3496,11.3459,12.674
194,0.884916,5.59219,4.87927,10.8872,12.8748
195,0.862025,4.92004,5.12648,11.7304,11.7413
196,0.905025,5.50653,5.18991,12.571,12.876
197,0.813252,5.07216,4.60696,11.2371,11.7144
198,0.877435,5.46366,5.07881,11.0827,12.3084
199,1.16748,5.73376,4.76066,14.0077,13.6233
200,1.05936,5.9603,5.50736,11.8284,11.4715
201,1.08416,5.19667,6.34647,12.771,12.2909
202,1.14768,5.85368,5.90353,11.6078,12.4631
203,0.987009,5.39403,5.0308,12.9237,11.5209
204,1.08404,5.37691,5.12594,11.7108,12.0466
205,1.00591,5.5135,5.60155,12.8926,12.7149
206,1.30681,5.44294,5.50638,12.2037,13.0515
207,1.03535,5.73333,5.26768,12.3598,12.3637
208,0.932268,4.82515,5.91803,10.4806,13.3053
209,0.972303,4.69873,5.02558,10.5392,11.9411
210,1.20333,5.38478,4.75103,11.6093,11.5925
211,1.06837,5.30947,5.00407,11.9265,11.5917
212,1.22626,5.55218,5.11525,11.6799,11.7114
213,1.04174,5.13805,5.37443,12.0563,11.2256
214,1.07818,5.19681,5.47657,14.0619,12.1671
215,1.11861,5.18054,5.022,11.6578,12.3235
216,1.10328,5.00064,5.04046,11.1653,11.5245
217,0.793673,4.83399,4.83165,11.9763,11.3255
218,1.38867,5.33663,4.73911,11.5843,12.7419
219,1.072,5.33774,4.94538,12.6313,12.6108
220,1.07564,4.73292,5.07,10.7442,11.7989
221,1.17483,4.87069,5.16575,9.94998,10.415
222,1.18587,5.12878,5.35834,11.6571,12.3176
223,1.04474,5.2203,5.64727,11.6807,12.6451
224,1.13674,5.24561,4.97104,11.8007,11.7743
225,0.960961,4.98822,4.76511,12.5891,13.3851
226,1.09801,4.50084,4.81085,11.7303,11.5278
227,1.1155,4.93596,5.20658,12.49,11.3396
228,1.09573,6.09574,4.77607,12.3222,12.1719
229,1.27024,4.34992,4.57028,12.1402,10.8098
230,1.16378,5.38223,5.06205,10.7789,11.8607
231,1.00056,4.60467,5.21319,12.2548,12.4389
232,1.1247,4.77275,4.9079,12.663,12.0972
233,1.12772,5.31966,4.55148,13.7908,13.1768
234,1.10263,5.0182,5.48706,11.7648,10.5738
235,1.16015,5.21953,4.80614,12.3522,12.2251
236,1.28085,5.0732,5.46055,12.3998,10.1725
237,1.10594,5.08827,4.37656,11.4918,11.6008
238,1.12963,5.23841,4.84631,12.4345,12.1838
239,1.09925,4.13436,5.06991,11.4008,11.381
240,1.21824,4.8814,4.4582,12.2659,12.267
241,1.20523,4.48254,4.89787,12.8867,12.2044
242,1.12733,4.55656,5.15892,12.2564,11.8091
243,1.18386,4.40068,5.06264,10.7826,12.6811
244,1.13991,4.52512,5.26437,12.1616,11.9745
245,1.17029,4.9293,4.91144,13.6753,10.3835
246,1.00863,4.36481,4.61041,11.612,11.574
247,1.1204,4.53013,4.62365,11.4352,12.0304
248,1.18234,4.85812,5.25093,11.9107,12.5489
249,1.23728,4.39776,4.3726,10.6112,12.2392
250,1.0727,4.60556,4.43892,10.9095,11.1923
251,1.10702,4.43053,5.06467,10.2466,11.1295
252,1.2268,5.0792,4.84655,10.626,13.4577
253,1.08617,4.62155,5.02321,12.0569,12.1339
254,1.22445,4.76104,4.69624,12.3861,11.9502
255,1.16888,4.77538,4.85136,12.0467,11.8083
256,1.11802,5.41117,5.45603,12.2648,11.2746
257,1.28506,4.75022,4.4759,11.5576,12.924
258,1.04523,4.45176,4.45234,12.6609,11.7383
259,1.20025,4.77943,4.61934,12.2041,11.9617
260,1.17324,4.53911,4.64601,12.3372,11.8283
261,1.31701,4.81448,4.73966,10.9692,11.1737
262,0.949064,4.99105,4.64402,11.3732,12.7397
263,1.19389,4.89023,4.88765,12.4274,11.6366
264,1.2347,4.44635,4.61174,11.9346,10.4586
265,1.07925,5.05797,4.38409,11.9147,11.6019
266,1.2436,4.86796,4.64478,12.3359,13.3952
267,1.16465,4.77501,4.70889,11.4926,12.6887
268,1.11592,4.67671,4.6935,13.7026,11.6305
269,1.23879,4.6344,4.37973,12.3823,11.9797
270,1.07161,4.69282,4.19754,11.9676,13.1989
271,1.26627,4.73319,4.06208,11.8504,12.5175
272,1.16163,4.80247,4.52636,12.0385,11.6467
273,1.18799,4.43032,4.41784,13.1314,11.3977
274,1.19611,4.68317,4.49478,12.7047,13.1481
275,1.12649,4.67067,4.56421,12.3018,10.8843
276,1.23661,4.0528,4.47026,10.805,11.6104
277,1.20091,4.81592,4.49232,11.8433,12.2172
278,1.17102,4.65365,4.48717,12.7258,10.7801
279,1.07435,4.05015,4.48393,12.644,11.3312
280,1.21773,4.13733,4.13721,11.4996,11.2611
281,1.24994,4.88247,4.48435,11.1841,10.8434
282,1.14525,4.35602,4.12676,11.5361,11.4171
283,1.09136,4.52217,4.45816,11.0756,11.7757
284,1.24822,4.37876,4.27236,10.5905,11.7228
285,1.17033,4.58258,4.80228,12.1028,11.165
286,1.12451,4.03568,4.03646,12.0221,12.1451
287,1.24428,4.86399,4.71809,10.5069,11.2245
288,1.18454,4.00173,4.32399,11.0812,12.2355
289,1.19136,4.2941,4.42983,12.5308,12.201
290,1.22444,3.76576,4.2507,11.9093,11.5098
291,1.15588,4.00239,4.21261,12.6887,12.5452
292,1.17524,4.76852,4.37327,12.3107,11.7548
293,1.24816,4.0952,4.19812,12.4091,12.0883
294,1.10215,4.79417,4.13807,11.9782,11.7191
295,1.24486,4.23664,4.43928,12.747,11.5623
296,1.14819,4.11378,4.06283,11.5116,13.003
297,1.19871,3.92139,3.71524,11.2651,11.4998
298,1.23373,4.53568,4.56154,11.2396,10.6767
299,1.30022,4.18639,4.06696,11.8887,12.0941
300,0.977358,3.82322,4.04789,12.0444,11.8044
301,1.19638,4.47931,4.14333,12.2523,13.1765
302,1.10606,3.87828,4.22953,11.2164,11.9533
303,1.28163,4.15695,4.3512,12.8275,12.4784
304,1.17229,4.47283,3.7067,12.5144,13.4308
305,1.28648,4.35928,4.51673,12.9146,12.4299
306,1.11106,4.2276,4.92927,12.5489,12.425
307,1.24848,4.64091,4.50255,10.8928,11.6943
308,1.19887,4.13825,4.55415,12.2058,11.4608
309,1.23113,4.31282,3.7587,11.9759,10.3577
310,1.08368,4.05028,4.05463,11.3711,11.8372
311,1.21669,4.07768,4.51514,12.6544,12.4598
312,1.11179,3.98868,4.51195,12.0053,12.2715
313,1.26649,3.85257,3.83353,11.3749,12.1148
314,1.06676,4.22909,4.26308,11.79,11.2254
315,1.20975,5.30309,5.31644,11.6892,12.1951
316,1.14237,4.00855,4.2746,11.1943,12.5304
317,1.245,4.35999,4.21756,11.4015,12.3102
318,1.18809,3.85988,4.49103,10.9479,11.6149
319,1.19579,3.81139,4.00221,11.2666,11.9785
320,1.23843,4.05956,4.13719,10.6746,11.4054
321,1.15818,3.94018,4.01388,12.4158,12.2031
322,1.21591,3.64424,3.80071,11.8744,11.3073
323,1.21091,3.89639,4.01433,11.298,10.8518
324,1.15122,3.89797,4.01402,12.6898,12.2919
325,1.21567,3.8193,3.91787,12.1515,11.3279
326,1.24616,3.92319,4.16355,11.4654,12.852
327,1.178,4.00498,3.99061,12.808,11.9818
328,1.2738,4.06204,3.93163,11.3519,10.8382
329,1.17533,3.78424,3.80361,13.2739,11.1268
330,1.20564,4.05736,3.98668,11.4335,10.7898
331,1.16221,3.98741,3.85637,12.0905,11.5128
332,1.21356,3.97965,4.23575,12.3027,11.6369
333,1.18858,3.85581,3.89297,12.885,12.176
334,1.20443,4.25279,3.99259,12.6031,11.2214
335,1.23348,4.25339,4.26344,11.1803,11.6323
336,1.17832,3.91367,4.46407,12.4773,12.1987
337,1.17137,4.13579,3.98671,12.2102,13.0897
338,1.16894,3.72626,3.67647,11.3616,11.0061
339,1.26419,3.85317,3.46469,11.4273,13.234
340,1.11736,4.21812,4.31029,13.2106,12.3559
341,1.2109,3.97483,3.84622,12.9939,12.4613
342,1.21266,3.66302,3.48423,10.7284,11.3909
343,1.24628,3.52594,4.08088,11.5912,11.9103
344,1.12018,3.90679,3.52568,11.2445,12.2859
345,1.20138,3.58385,3.31539,11.488,12.208
346,1.24692,4.48223,3.80968,11.8551,12.6308
347,1.1846,3.5641,3.98227,11.7776,12.8761
348,1.11846,3.95699,3.62094,11.8805,11.6903
349,1.08852,3.48537,3.66648,11.1475,11.9055
350,1.35002,3.38905,3.38125,12.1131,11.9471
351,1.11402,3.46396,3.58758,11.1352,11.0796
